address	name	namespace	reference_count	references
EXTERNAL:0000002c	XRENGINE.EXE::?SizeOf_@CGameFont@@QAEMPBD@Z	XRENGINE.EXE	1	1057cbf4
EXTERNAL:0000002d	XRENGINE.EXE::?IsBinded@@YA_NW4EGameActions@@H@Z	XRENGINE.EXE	1	1057cbf8
EXTERNAL:0000002e	XRENGINE.EXE::?iSetMousePos@CInput@@QBEXABU?$_vector2@H@@@Z	XRENGINE.EXE	1	1057cbfc
EXTERNAL:0000002f	XRENGINE.EXE::?iGetAsyncMousePos@CInput@@QBEXAAU?$_vector2@H@@@Z	XRENGINE.EXE	1	1057cc00
EXTERNAL:00000030	XRENGINE.EXE::?IR_OnMouseWheel@IInputReceiver@@UAEXHH@Z	XRENGINE.EXE	1	1057cc04
EXTERNAL:00000031	XRENGINE.EXE::?is_mark_between@motion_marks@@QBE_NABM0@Z	XRENGINE.EXE	1	1057cc08
EXTERNAL:00000032	XRENGINE.EXE::?feel_vision_get_vispoint@Vision@Feel@@QAE?AU?$_vector3@M@@PAVCObject@@@Z	XRENGINE.EXE	1	1057cc0c
EXTERNAL:00000033	XRENGINE.EXE::?ps_Size@CObject@@QBEIXZ	XRENGINE.EXE	1	1057cc10
EXTERNAL:00000034	XRENGINE.EXE::?g_appLoaded@@3HA	XRENGINE.EXE	1	1057cc14
EXTERNAL:00000035	XRENGINE.EXE::??1CRenderDevice@@QAE@XZ	XRENGINE.EXE	1	1057cc18
EXTERNAL:00000036	XRENGINE.EXE::?Stop@CObjectAnimator@@QAEXXZ	XRENGINE.EXE	1	1057cc1c
EXTERNAL:00000037	XRENGINE.EXE::?Pause@CObjectAnimator@@QAEX_N@Z	XRENGINE.EXE	1	1057cc20
EXTERNAL:00000038	XRENGINE.EXE::?Name@CObjectAnimator@@QAEPBDXZ	XRENGINE.EXE	1	1057cc24
EXTERNAL:00000039	XRENGINE.EXE::?Clear@CObjectAnimator@@QAEXXZ	XRENGINE.EXE	1	1057cc28
EXTERNAL:0000003a	XRENGINE.EXE::?Length_ms@CLAItem@@QAEIXZ	XRENGINE.EXE	1	1057cc2c
EXTERNAL:0000003b	XRENGINE.EXE::??0CEffectorPP@@QAE@XZ	XRENGINE.EXE	1	1057cc30
EXTERNAL:0000003c	XRENGINE.EXE::?GetLength@CEnvelope@@QAEMPAM0@Z	XRENGINE.EXE	1	1057cc34
EXTERNAL:0000003d	XRENGINE.EXE::?Load_2@CEnvelope@@QAEXAAVIReader@@@Z	XRENGINE.EXE	1	1057cc38
EXTERNAL:0000003e	XRENGINE.EXE::?Save@CEnvelope@@QAEXAAVIWriter@@@Z	XRENGINE.EXE	1	1057cc3c
EXTERNAL:0000003f	XRENGINE.EXE::?Evaluate@CEnvelope@@QAEMM@Z	XRENGINE.EXE	1	1057cc40
EXTERNAL:00000040	XRENGINE.EXE::??1CEnvelope@@UAE@XZ	XRENGINE.EXE	1	1057cc44
EXTERNAL:00000041	XRENGINE.EXE::??0CEnvelope@@QAE@XZ	XRENGINE.EXE	1	1057cc48
EXTERNAL:00000042	XRENGINE.EXE::?UpdateDeffered@CCameraManager@@IAEXXZ	XRENGINE.EXE	1	1057cc4c
EXTERNAL:00000043	XRENGINE.EXE::?count@CPartition@@QBEEXZ	XRENGINE.EXE	1	1057cc50
EXTERNAL:00000044	XRENGINE.EXE::?part_id@CPartition@@QBEGABVshared_str@@@Z	XRENGINE.EXE	1	1057cc54
EXTERNAL:00000045	XRENGINE.EXE::?_RayQuery@CCF_DynamicMesh@@UAEHABUray_defs@collide@@AAVrq_results@3@@Z	XRENGINE.EXE	1	1057cc58
EXTERNAL:00000046	XRENGINE.EXE::??1CCF_DynamicMesh@@UAE@XZ	XRENGINE.EXE	1	1057cc5c
EXTERNAL:00000047	XRENGINE.EXE::??0CCF_DynamicMesh@@QAE@PAVCObject@@@Z	XRENGINE.EXE	1	1057cc60
EXTERNAL:00000048	XRENGINE.EXE::?PSI_destroy@CPS_Instance@@UAEXXZ	XRENGINE.EXE	1	1057cc64
EXTERNAL:00000049	XRENGINE.EXE::?PSI_internal_delete@CPS_Instance@@MAEXXZ	XRENGINE.EXE	1	1057cc68
EXTERNAL:0000004a	XRENGINE.EXE::?renderable_ShadowGenerate@IRenderable@@UAEHXZ	XRENGINE.EXE	1	1057cc6c
EXTERNAL:0000004b	XRENGINE.EXE::?renderable_ShadowReceive@IRenderable@@UAEHXZ	XRENGINE.EXE	1	1057cc70
EXTERNAL:0000004c	XRENGINE.EXE::?dcast_Renderable@CPS_Instance@@UAEPAVIRenderable@@XZ	XRENGINE.EXE	1	1057cc74
EXTERNAL:0000004d	XRENGINE.EXE::?shedule_Name@CPS_Instance@@UBE?AVshared_str@@XZ	XRENGINE.EXE	1	1057cc78
EXTERNAL:0000004e	XRENGINE.EXE::?shedule_Update@CPS_Instance@@UAEXI@Z	XRENGINE.EXE	1	1057cc7c
EXTERNAL:0000004f	XRENGINE.EXE::??0CPS_Instance@@QAE@_N@Z	XRENGINE.EXE	1	1057cc80
EXTERNAL:00000050	XRENGINE.EXE::??1CPS_Instance@@MAE@XZ	XRENGINE.EXE	1	1057cc84
EXTERNAL:00000051	XRENGINE.EXE::?IR_OnControllerPress@IInputReceiver@@UAEXHMM@Z	XRENGINE.EXE	1	1057cc88
EXTERNAL:00000052	XRENGINE.EXE::?IR_OnControllerRelease@IInputReceiver@@UAEXHMM@Z	XRENGINE.EXE	1	1057cc8c
EXTERNAL:00000053	XRENGINE.EXE::?IR_OnControllerHold@IInputReceiver@@UAEXHMM@Z	XRENGINE.EXE	1	1057cc90
EXTERNAL:00000054	XRENGINE.EXE::?IR_OnControllerAttitudeChange@IInputReceiver@@UAEXU?$_vector3@M@@@Z	XRENGINE.EXE	1	1057cc94
EXTERNAL:00000055	XRENGINE.EXE::?ResetPP@CCameraManager@@SAXXZ	XRENGINE.EXE	1	1057cc98
EXTERNAL:00000056	XRENGINE.EXE::?ps_winter_params@@3U?$_vector3@M@@A	XRENGINE.EXE	1	1057cc9c
EXTERNAL:00000057	XRENGINE.EXE::?g_zone_winter@@3_NA	XRENGINE.EXE	1	1057cca0
EXTERNAL:00000058	XRENGINE.EXE::?MakeRain@CEffect_Rain@@QAEXXZ	XRENGINE.EXE	1	1057cca4
EXTERNAL:00000059	XRENGINE.EXE::?MakeSnow@CEffect_Rain@@QAEXXZ	XRENGINE.EXE	1	1057cca8
EXTERNAL:0000005a	XRENGINE.EXE::??1CEnvironment@@QAE@XZ	XRENGINE.EXE	1	1057ccac
EXTERNAL:0000005b	XRENGINE.EXE::??1CEnvDescriptor@@QAE@XZ	XRENGINE.EXE	1	1057ccb0
EXTERNAL:0000005c	XRENGINE.EXE::?Read@CStringTable@@QBE?AVshared_str@@AAVNET_Packet@@@Z	XRENGINE.EXE	1	1057ccb4
EXTERNAL:0000005d	XRENGINE.EXE::?Write@CStringTable@@QBEXAAVNET_Packet@@ABVshared_str@@@Z	XRENGINE.EXE	1	1057ccb8
EXTERNAL:0000005e	XRENGINE.EXE::?GetActionDik@@YAHW4EGameActions@@H@Z	XRENGINE.EXE	1	1057ccbc
EXTERNAL:0000005f	XRENGINE.EXE::?Level_Scan@CApplication@@QAEXXZ	XRENGINE.EXE	1	1057ccc0
EXTERNAL:00000060	XRENGINE.EXE::?LL_CheckTextures@IGame_Level@@QAEXXZ	XRENGINE.EXE	1	1057ccc4
EXTERNAL:00000061	XRENGINE.EXE::?Destroy@CObjectList@@QAEXPAVCObject@@@Z	XRENGINE.EXE	1	1057ccc8
EXTERNAL:00000062	XRENGINE.EXE::?Create@CObjectList@@QAEPAVCObject@@PBD@Z	XRENGINE.EXE	1	1057cccc
