address	length	value
100188af	39	??4MultipacketReciever@@QAEAAV0@ABV0@@Z
100188d7	37	??4MultipacketSender@@QAEAAV0@ABV0@@Z
100188fd	34	??4NET_Compressor@@QAEAAV0@ABV0@@Z
10018960	31	??4syncQueue@@QAEAAV0@$$QAV0@@Z
10018980	29	??4syncQueue@@QAEAAV0@ABV0@@Z
100189ba	16	??_7IClient@@6B@
100189cb	41	??_7IPureClient@@6BMultipacketReciever@@@
100189f5	39	??_7IPureClient@@6BMultipacketSender@@@
10018a1d	20	??_7IPureServer@@6B@
10018a32	28	??_7MultipacketReciever@@6B@
10018a4f	26	??_7MultipacketSender@@6B@
10018a6a	49	?ApplyRecievedNetworkMessages@IPureServer@@QAEXXZ
10018a9c	47	?Assign_ServerType@IPureServer@@UAEXAAY0CAA@D@Z
10018acc	47	?BanAddress@IPureServer@@UAEXABUip_address@@I@Z
10018afc	43	?BanClient@IPureServer@@UAEXPAVIClient@@I@Z
10018b28	36	?BannedList_Load@IPureServer@@QAEXXZ
10018b4d	36	?BannedList_Save@IPureServer@@QAEXXZ
10018b72	94	?BannedTimeTo@IBannedClient@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$xalloc@D@@@std@@XZ
10018bd1	28	?BroadcastCID@@3VClientID@@A
10018bee	61	?Check_ServerAccess@IPureServer@@UAE_NPAVIClient@@AAY0CAA@D@Z
10018c2c	31	?Clear@IClientStatistic@@QAEXXZ
10018c4c	38	?ClearAvatarCache@CSteamHelper@@AAEXXZ
10018c73	35	?ClearStatistic@IPureClient@@QAEXXZ
10018c97	35	?ClearStatistic@IPureServer@@QAEXXZ
10018cbb	46	?CloseConnection@IPureSteamServer@@AAEXIHPBD@Z
10018cea	40	?Compress@NET_Compressor@@QAEGPAEABI01@Z
10018d13	34	?Connect@IPureClient@@QAEHPBD_N1@Z
10018d36	69	?Connect@IPureServer@@UAE?AW4EConnect@1@PBDAAUGameDescriptionData@@@Z
10018d7c	42	?Connect@IPureSteamClient@@QAEHQAD00H_N1@Z
10018da7	72	?Connect@IPureSteamServer@@QAE?AW4EConnect@1@HAAUGameDescriptionData@@@Z
10018df0	44	?Create@INetQueue@@QAEPAVNET_Packet@@ABV2@@Z
10018e1d	39	?Create@INetQueue@@QAEPAVNET_Packet@@XZ
10018e45	42	?Decompress@NET_Compressor@@QAEGPAEABI01@Z
10018e70	40	?DestroyClient@IPureSteamServer@@AAEXI@Z
10018e99	42	?DeviceTimer@IPureClient@@QAEPAVCTimer@@XZ
10018ec4	31	?Disconnect@IPureClient@@QAEXXZ
10018ee4	31	?Disconnect@IPureServer@@UAEXXZ
10018f04	36	?Disconnect@IPureSteamClient@@QAEXXZ
10018f29	36	?Disconnect@IPureSteamServer@@QAEXXZ
10018f4e	58	?DisconnectAddress@IPureServer@@UAE_NABUip_address@@HPBD@Z
10018f89	50	?DisconnectAllClients@IPureSteamServer@@QAEXHPBD@Z
10018fbc	54	?DisconnectClient@IPureServer@@UAE_NPAVIClient@@HPBD@Z
10018ff3	47	?DisconnectClient@IPureSteamServer@@QAEXIHPBD@Z
10019044	35	?DumpStats@NET_Compressor@@QAEX_N@Z
10019068	36	?EndProcessQueue@IPureClient@@QAEXXZ
1001908d	66	?FinishConnection@IPureSteamServer@@AAEXIAAUSClientConnectData@@@Z
