entry	name	size	called_interesting_symbols	string_refs	call_refs
100062a0	NET_Compressor::DumpStats	386	100062b1->s_---------NET_Compressor::DumpSta_10015ad4 | 100062b8->g_net_compressor_enabled	10015ad4=---------NET_Compressor::DumpStats-----------	2
10006580	FUN_10006580	49	10006590->PTR___std_exception_destroy_10015110 | 10006590->VCRUNTIME140.DLL::__std_exception_destroy		2
10006d70	FUN_10006d70	308	10006da7->IClient::vftable | 10006df5->MultipacketSender::vftable | 10006e2d->IClient::vftable | 10006e7b->MultipacketSender::vftable		4
10006eb0	FUN_10006eb0	141	10006ee8->IPureServer::~IPureServer | 10006f1b->IPureServer::~IPureServer		2
10007030	IBannedClient::Load	695	10007280->s_-_loaded_banned_client_%s_to_%s_10015c80	10015c80=- loaded banned client %s to %s	1
100072f0	IBannedClient::Save	363			0
10007460	IBannedClient::BannedTimeTo	145			0
10007500	IClient::IClient	212	1000750a->MultipacketSender::vftable | 10007510->PTR_NET_Packet_10015224 | 10007510->XRCORE.DLL::NET_Packet::NET_Packet | 10007530->PTR_NET_Packet_10015224 | 10007530->XRCORE.DLL::NET_Packet::NET_Packet | 10007561->IClient::vftable		6
100075e0	IClient::~IClient	90	100075e0->IClient::vftable | 10007628->MultipacketSender::vftable		2
10007640	IClientStatistic::Update	121			0
100076c0	IClient::_SendTo_LL	95	100076e3->s_IClient::_SendTo_LL_10015ca0 | 100076f2->s_server_10015cf0 | 10007715->IPureServer::SendTo_LL	10015ca0=IClient::_SendTo_LL | 10015cb4=G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\NET_Server.cpp | 10015cf0=server	3
10007720	IPureServer::ID_to_client	102			0
10007790	IPureServer::_Recieve	538	100077b8->s_!_Too_large_packet_size[%d]_rece_10015cf8 | 1000782c->s_+_DisconnectedClient._10015d50 | 10007849->PTR_NET_Packet_10015224 | 10007849->XRCORE.DLL::NET_Packet::NET_Packet | 1000786e->psNET_Flags | 10007890->s_logs\net_sv_log.log_10015d68	10015cf8=! Too large packet size[%d] received! | 10015d50=+ DisconnectedClient. | 10015d68=logs\net_sv_log.log	6
100079b0	IPureServer::IPureServer	547	100079c2->IPureServer::vftable | 10007bbd->IPureSteamServer::IPureSteamServer		2
10007be0	IPureServer::~IPureServer	656	10007bf6->IPureServer::vftable | 10007cca->psNET_direct_connect | 10007e63->MultipacketReciever::vftable		3
10007e70	IPureServer::Connect	669	10007eb1->psNET_direct_connect | 10007ec4->psNET_direct_connect | 10007fc2->s_maxplayers=_10015d84 | 10007fd1->s_maxplayers=_10015d84 | 100080c9->psNET_direct_connect | 100080f1->IPureSteamServer::Connect	10015d84=maxplayers= | 10015d84=maxplayers=	6
10008110	IPureServer::Disconnect	36	10008110->psNET_direct_connect | 1000811c->IPureServer::BannedList_Save | 10008123->IPureServer::IpList_Unload | 1000812f->IPureSteamServer::Disconnect		4
10008140	IPureServer::Flush_Clients_Buffers	64			0
10008180	FUN_10008180	64	1000819c->MultipacketSender::_FlushSendBuffer | 100081ac->MultipacketSender::_FlushSendBuffer		2
100081c0	IPureServer::SendTo_Buf	90	1000820f->MultipacketSender::SendPacket		1
10008220	IPureServer::SendTo_LL	129	10008223->psNET_Flags | 10008245->s_logs\net_sv_log.log_10015d68	10015d68=logs\net_sv_log.log	2
100082b0	IPureServer::SendTo	34			0
100082e0	IPureServer::SendBroadcast_LL	170			0
10008390	IPureServer::SendBroadcast	31	100083a6->IPureServer::SendBroadcast_LL		1
100083b0	IPureServer::OnMessage	5			0
100083c0	IPureServer::OnCL_Connected	30	100083cc->s_*_Player_0x%08x_connected._10015d98	10015d98=* Player 0x%08x connected. 	1
100083e0	IPureServer::OnCL_Disconnected	30	100083ec->s_*_Player_0x%08x_disconnected._10015db4	10015db4=* Player 0x%08x disconnected. 	1
10008400	IPureServer::HasBandwidth	373	10008421->psNET_direct_connect | 1000847d->IClientStatistic::Update | 10008496->psNET_ServerUpdate | 100084ac->psNET_Flags | 100084f1->psNET_ServerPending | 1000855c->IClientStatistic::Update		6
10008580	IPureServer::UpdateClientStatistic	106	100085de->IClientStatistic::Update		1
100085f0	IPureServer::ClearStatistic	130			0
100086c0	IPureServer::DisconnectClient	45	100086e2->IPureSteamServer::DisconnectClient		1
100086f0	IPureServer::DisconnectAddress	243	10008767->IPureSteamServer::GetClientAddress		1
100087f0	IPureServer::GetClientAddress	280			0
10008910	IPureServer::GetClientSteamID	122			0
10008990	IPureServer::GetClientAddress	27	100089a2->IPureSteamServer::GetClientAddress		1
100089b0	IPureServer::GetBannedClient	103			0
10008a20	IPureServer::BanClient	51	10008a3b->IPureSteamServer::GetClientAddress		1
10008a60	IPureServer::BanAddress	168	10008a6a->IPureServer::GetBannedClient | 10008ae0->IPureServer::BannedList_Save | 10008afa->IPureServer::BannedList_Save		3
10008b10	IPureServer::UnBanAddress	544	10008b28->IPureServer::GetBannedClient | 10008d23->IPureServer::BannedList_Save		2
10008d30	IPureServer::Print_Banned_Addreses	446			0
10008ef0	IPureServer::BannedList_Save	157	10008f68->IBannedClient::Save		1
10008f90	IPureServer::BannedList_Load	244	10009042->IBannedClient::Load		1
10009090	IPureServer::IpList_Load	26			0
100090b0	IPureServer::IpList_Unload	79			0
10009100	IPureServer::IsPlayerIPDenied	158			0
100091d0	IPureServer::UpdateBannedList	103			0
10009240	IPureServer::GetBannedListName	6			0
10009250	IPureServer::InsertNetworkMessageToQueue	210			0
10009330	IPureServer::ApplyRecievedNetworkMessages	290	10009416->MultipacketReciever::RecievePacket		1
10009da0	IPureSteamClient::IPureSteamClient	329	10009edb->g_pSteamHelper		1
10009ef0	IPureSteamClient::~IPureSteamClient	13			0
