address	name	namespace	reference_count	references
EXTERNAL:00000058	MSVCP140.DLL::std::_Throw_Cpp_error	MSVCP140.DLL::std	28	100150a8,1000c93b,1000c951,1000b244,1000b21b,1000c1e2,1000c1f8,1000926d,10009283,1000c373,1000c389,10009359,1000936f,1000bd34,1000bd3c,1000c413,1000c429,10004cc4,10004cd4,1000c55e,1000c574,1000a72b,1000a747,1000bf54,1000bf6a,1000a6e9,1000ba4b,1000ba5b
EXTERNAL:00000059	MSVCP140.DLL::std::_Syserror_map	MSVCP140.DLL::std	2	100150ac,10012918
EXTERNAL:0000005a	MSVCP140.DLL::std::_Random_device	MSVCP140.DLL::std	2	100150b0,10001060
EXTERNAL:0000005b	MSVCP140.DLL::_Thrd_id	MSVCP140.DLL	2	100150b4,1000a71e
EXTERNAL:0000005c	MSVCP140.DLL::_Thrd_join	MSVCP140.DLL	2	100150b8,1000a738
EXTERNAL:0000005d	MSVCP140.DLL::std::_Xlength_error	MSVCP140.DLL::std	5	100150bc,10006535,10001655,10005695,100067e5
EXTERNAL:0000005e	MSVCP140.DLL::_Query_perf_counter	MSVCP140.DLL	2	100150c0,1000b33a
EXTERNAL:0000005f	MSVCP140.DLL::_Thrd_detach	MSVCP140.DLL	3	100150c4,10004cb5,1000ba2e
EXTERNAL:00000060	MSVCP140.DLL::_Cnd_do_broadcast_at_thread_exit	MSVCP140.DLL	4	100150c8,1000587f,1000d180,1000b224
EXTERNAL:00000061	MSVCP140.DLL::_Mtx_lock	MSVCP140.DLL	12	100150cc,1000c92c,1000b1a2,1000b20c,1000c1d3,1000925e,1000c364,1000934a,1000bc50,1000c404,1000c54f,1000bf45
EXTERNAL:00000062	MSVCP140.DLL::_Mtx_unlock	MSVCP140.DLL	14	100150d0,1000b1fb,1000b222,1000c96b,1000c264,10009310,1000c3bd,1000c3ce,10009442,1000bd07,1000c52b,1000c5a6,1000bf92,1000bfa5
EXTERNAL:00000063	MSVCP140.DLL::_Thrd_yield	MSVCP140.DLL	3	100150d4,1000c2fa,1000b1fd
EXTERNAL:00000064	MSVCP140.DLL::std::_Xout_of_range	MSVCP140.DLL::std	3	100150d8,10012145,1000a1e3
EXTERNAL:00000065	MSVCP140.DLL::std::_Xinvalid_argument	MSVCP140.DLL::std	2	100150dc,1000a1cf
EXTERNAL:00000066	MSVCP140.DLL::_Query_perf_frequency	MSVCP140.DLL	2	100150e0,1000b32e
EXTERNAL:00000067	VCRUNTIME140.DLL::except_handler4_common	VCRUNTIME140.DLL	2	100150e8,10014027
EXTERNAL:00000068	VCRUNTIME140.DLL::memset	VCRUNTIME140.DLL	2	100150ec,10014021
EXTERNAL:00000069	VCRUNTIME140.DLL::memmove	VCRUNTIME140.DLL	2	100150f0,10014395
EXTERNAL:0000006a	VCRUNTIME140.DLL::memcpy	VCRUNTIME140.DLL	2	100150f4,1001438f
EXTERNAL:0000006b	VCRUNTIME140.DLL::_CxxThrowException	VCRUNTIME140.DLL	2	100150f8,10014389
EXTERNAL:0000006c	VCRUNTIME140.DLL::__std_type_info_destroy_list	VCRUNTIME140.DLL	2	100150fc,1001402d
EXTERNAL:0000006d	VCRUNTIME140.DLL::strchr	VCRUNTIME140.DLL	23	10015100,1000427f,1000428b,100042af,100042c1,10004307,10004315,1000438b,10004399,1000440d,1000441b,1000449a,100044ac,10004519,1000452b,1000807b,10008087,10007f00,10007f16,10007f43,10007f53,10007ff0,10008000
EXTERNAL:0000006e	VCRUNTIME140.DLL::strstr	VCRUNTIME140.DLL	21	10015104,100042ed,100042fc,10004371,10004380,100043f3,10004402,10004465,10004474,100044e4,100044f3,10007ebb,10007f28,10007f3b,10007fc8,10007fd7,10005bb4,10005cd1,10008058,10008045,10005fb9
EXTERNAL:0000006f	VCRUNTIME140.DLL::purecall	VCRUNTIME140.DLL	2	10015108,10014015
EXTERNAL:00000070	VCRUNTIME140.DLL::__std_exception_copy	VCRUNTIME140.DLL	10	1001510c,1000e05f,1000d9b2,10012aaf,10012aff,10012b7e,100065de,1000661e,1000666e,10012814
EXTERNAL:00000071	VCRUNTIME140.DLL::__std_exception_destroy	VCRUNTIME140.DLL	5	10015110,10012a60,10006590,1000df0e,1000e027
